id,rank,Issue,Article ID,Tag ID,Article Title
15,2,1,conversation,europe-united-kingdom,There's No Such Thing as British Art
15,2,1,conversation,politics-and-economics-nationalism,There's No Such Thing as British Art
15,2,1,conversation,aesthetics-satire,There's No Such Thing as British Art
15,2,1,conversation,politics-and-economics-feminism,There's No Such Thing as British Art
15,2,1,conversation,history-british-empire,There's No Such Thing as British Art
15,2,1,conversation,disciplines-art-theory,There's No Such Thing as British Art
15,2,1,conversation,places-art-schools,There's No Such Thing as British Art
15,2,1,conversation,people-and-identities-immigration-and-diaspora,There's No Such Thing as British Art
15,2,1,conversation,disciplines-postcolonial-studies,There's No Such Thing as British Art
15,2,1,conversation,politics-and-economics-the-state,There's No Such Thing as British Art
37,3,1,gainsboroughs-charity,century-1700–1799,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,uk-regions-london,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,material-medium-and-technique-paintings,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,material-medium-and-technique-prints,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,aesthetics-copies,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,aesthetics-institutional-critique,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,audiences-reception,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,methods-exhibition-histories,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,people-and-identities-class,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,aesthetics-allegory,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
37,3,1,gainsboroughs-charity,styles-and-movements-georgian,“A beautiful assemblage of an interesting nature” : Gainsborough’s 'Charity Relieving Distress' and the Reconciliation of High and Low Art
38,4,1,magda-cordell-hchale,century-1900–1999,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,uk-regions-london,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,material-medium-and-technique-paintings,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,artistic-practice-artistic-collaboration,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,methods-exhibition-histories,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,politics-and-economics-feminism,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
38,4,1,magda-cordell-hchale,people-and-identities-gender,"Painting that Grows Back: Futures Past and the Ur-feminist Art of Magda Cordell McHale, 1955–1961"
